time;_state_;in;indisc;inerr;innucast;inucast;out;outdisc;outerr;outnucast;outqlen;outucast
1631566800;1,0000000000e+02;1,2084097983e+04;1,9723737333e-01;0,0000000000e+00;5,5668831333e-01;2,3722092953e+01;9,2991558856e+03;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;1,8687960413e+01
1631568600;1,0000000000e+02;1,1681755445e+04;1,9777410667e-01;0,0000000000e+00;5,5719905333e-01;2,3252460873e+01;9,2822542381e+03;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;1,8398266090e+01
1631570400;1,0000000000e+02;1,1999551271e+04;1,9722938000e-01;0,0000000000e+00;5,5680122000e-01;2,3671751700e+01;9,3489817991e+03;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;1,8715913697e+01
1631572200;1,0000000000e+02;1,1705304089e+04;1,9776971000e-01;0,0000000000e+00;5,5822938667e-01;2,3187568407e+01;9,2991399356e+03;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;1,8326196697e+01
1631574000;1,0000000000e+02;1,2002431285e+04;1,9705394000e-01;0,0000000000e+00;5,5751884444e-01;2,3711414086e+01;9,4240180663e+03;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;1,8794436438e+01
1631575800;1,0000000000e+02;1,1729979774e+04;1,9782262556e-01;0,0000000000e+00;5,5728864000e-01;2,3011184247e+01;9,0774176160e+03;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;1,8229374307e+01
1631577600;1,0000000000e+02;1,1958594585e+04;1,9727862222e-01;0,0000000000e+00;5,5728370444e-01;2,3483244510e+01;9,2179816514e+03;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;1,8510100269e+01
1631579400;1,0000000000e+02;1,1685939454e+04;1,9803798667e-01;0,0000000000e+00;5,5755834111e-01;2,2856832520e+01;8,9991626928e+03;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;1,7971848549e+01
1631581200;1,0000000000e+02;1,1863778538e+04;1,9687653333e-01;0,0000000000e+00;5,5713430778e-01;2,3266557134e+01;9,2165571928e+03;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;1,8419332360e+01
1631583000;1,0000000000e+02;1,1855174671e+04;1,9796225667e-01;0,0000000000e+00;5,5710441000e-01;2,3549044132e+01;9,3370639068e+03;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;1,8666734011e+01
1631584800;1,0000000000e+02;1,2149097109e+04;1,9734398333e-01;0,0000000000e+00;5,5771895333e-01;2,3551403924e+01;9,2100168272e+03;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;1,8542391247e+01
1631586600;1,0000000000e+02;1,1890143665e+04;1,9762176222e-01;0,0000000000e+00;5,5716768333e-01;2,2873786301e+01;8,8698051074e+03;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;1,8027667648e+01
1631588400;1,0000000000e+02;1,3263080193e+04;1,9788016222e-01;0,0000000000e+00;5,5667797333e-01;2,4639104453e+01;9,3793634398e+03;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;1,9071602148e+01
1631590200;1,0000000000e+02;1,1795175895e+04;1,9774705111e-01;0,0000000000e+00;5,5819987556e-01;2,3233737936e+01;9,2623480456e+03;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;1,8420628591e+01
1631592000;1,0000000000e+02;4,6777850924e+04;1,9721499111e-01;0,0000000000e+00;5,5680146667e-01;4,6944367169e+01;9,6592747108e+03;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;2,4379190393e+01
1631593800;1,0000000000e+02;1,1320741007e+04;1,9780728667e-01;0,0000000000e+00;5,5769425111e-01;2,2675277153e+01;9,0348641817e+03;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;1,7912174091e+01
1631595600;1,0000000000e+02;1,1632963580e+04;1,9752416000e-01;0,0000000000e+00;5,5670775111e-01;2,3553630691e+01;9,3096717763e+03;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;1,9059662033e+01
1631597400;1,0000000000e+02;2,4303978502e+04;1,9723870222e-01;0,0000000000e+00;5,5786987556e-01;3,4635349991e+01;1,0577917459e+04;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;2,6649372913e+01
1631599200;1,0000000000e+02;2,2262152033e+05;1,9722824889e-01;0,0000000000e+00;5,5765739333e-01;2,0363220900e+02;2,9842400769e+04;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;1,1863120855e+02
1631601000;1,0000000000e+02;2,3559592460e+05;1,9667230667e-01;0,0000000000e+00;5,5681540667e-01;2,0708471190e+02;2,3694167932e+04;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;1,0360046962e+02
1631602800;1,0000000000e+02;2,6335366964e+05;1,9704841556e-01;0,0000000000e+00;5,5723298667e-01;2,1724878258e+02;3,2407485244e+04;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;9,9818129041e+01
1631604600;1,0000000000e+02;1,9663589288e+05;1,9781368333e-01;0,0000000000e+00;5,5815138889e-01;1,7043008599e+02;1,9404597635e+04;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;7,7281553009e+01
1631606400;1,0000000000e+02;3,5477928440e+05;1,9747230556e-01;0,0000000000e+00;5,5700180667e-01;2,9417107784e+02;2,9545234241e+04;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;1,2073125912e+02
1631608200;1,0000000000e+02;3,7660697553e+05;1,9754819444e-01;0,0000000000e+00;5,5697678111e-01;3,5082078309e+02;3,5747096246e+04;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;1,7605702714e+02
1631610000;1,0000000000e+02;1,4125906999e+06;1,9736389222e-01;0,0000000000e+00;5,5759538000e-01;1,1241587663e+03;4,0803040872e+04;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;2,7848566552e+02
1631611800;1,0000000000e+02;5,8965908647e+05;1,8954193333e-01;0,0000000000e+00;5,5627205556e-01;4,4966264090e+02;2,6391915442e+04;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;1,3261419999e+02
1631613600;1,0000000000e+02;2,4708532054e+05;1,9718244000e-01;0,0000000000e+00;5,5794395000e-01;2,1339854028e+02;2,5898181116e+04;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;9,1510539197e+01
1631615400;1,0000000000e+02;1,4905884738e+05;1,9725859222e-01;0,0000000000e+00;5,5756074556e-01;1,3416683383e+02;1,7308297427e+04;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;0,0000000000e+00;6,2483713143e+01
